PLAZA,PLAZA JEFE
82542,74680
74761,41260
74774,74680
75013,74680
75027,74680
32199,54914
42602,66140
55392,66140
74036,67565
65430,53769
67270,67378
67058,67419
83601,67565
74940,67107
74680,67057
74611,71776
74898,67088
74763,67088
74225,67084
67150,67086
63659,63649
75170,67079
74699,67412
74706,67412
74722,67412
74724,67197
74739,67079
74740,67412
74746,67412
74749,67412
74750,67412
74787,67412
74788,67197
74837,67412
74841,67197
74845,67197
74866,67197
74936,67197
74937,67154
74944,67197
75060,67079
75094,67079
75203,67079
75169,67058
74751,67079
74663,67154
74695,67197
74719,67154
74718,67056
74728,67197
74743,67079
74757,67154
82403,67058
74943,67197
75062,67079
74961,67412
75070,67079
75077,67079
75213,67412
75085,67197
75101,67056
75171,67056
76254,67056
74848,67276
74858,67276
74895,67276
74922,67058
74928,67276
74929,67276
75054,67276
75056,67276
75059,67276
74847,67276
74736,67276
74877,67058
74697,67056
75172,67058
74919,67058
74849,67058
74942,67058
75081,67058
74828,67058
75043,67058
75216,67058
78990,67058
67406,67259
74909,74680
75175,74680
75084,67079
81224,67079
75089,67079
74945,67058
75099,74680
59314,59201
68393,68415
68416,68415
67350,67565
67255,67565
66987,70192
66978,70192
66983,70192
66986,70192
66980,70192
66976,70192
66979,70192
66981,70192
66982,70192
66977,70192
66984,70192
66985,70192
67400,70192
67073,70192
70678,67107
61498,10436
65434,10436
61499,10436
73337,10436
72344,67475
67179,67083
67405,53611
67114,67100
67359,67128
67348,67184
67229,67184
67341,67184
67397,67184
65707,51139
65920,61984
67075,67368
67332,67077
67298,67368
67443,67368
67448,67368
67500,67368
67379,67412
53613,53611
55730,51354
50096,74611
50095,74611
64754,66140
55393,66140
51856,68375
58516,66140
54880,66140
56706,66140
62001,66140
55396,66140
55291,66140
55395,66140
67499,54756
63143,58621
67735,67053
67734,67053
67080,67565
67623,67565
67113,67143
67135,67143
67149,67143
67166,67143
67327,67143
67329,67143
67422,67143
67497,67143
67580,67143
67186,67107
67477,53611
56325,56277
67284,67054
67292,67054
67181,67054
69114,30475
67195,67055
67272,61309
67246,67055
67265,67055
67316,67054
67072,68369
45891,71783
51127,74611
55635,41260
64623,73423
67259,53769
51355,54756
45890,61309
53611,71731
67128,53769
67088,67378
67387,48737
67100,71731
61996,68369
71724,53769
82339,54914
68375,71731
66140,71731
67184,54756
67086,67062
38863,41260
67084,67077
65325,67380
51354,54756
33339,68369
53610,41260
44644,41260
51139,73423
44645,41260
67143,67055
51353,54756
67168,74680
10436,41260
61983,56702
61984,56702
58973,41260
67079,67419
67276,67419
66121,61309
38592,54914
65837,54914
30475,61309
68415,71896
66717,54756
67131,68369
67123,67565
69852,67565
67420,67565
67257,67565
69853,67565
67057,71776
67077,71776
61309,71776
71776,5
48729,51355
46507,51355
72345,51355
67133,67195
67309,67195
67389,67195
67474,67195
67581,67563
67583,67563
67301,67195
67294,67564
67313,67564
67375,67564
67340,67246
67471,67246
67441,67265
67590,67246
67612,67246
67457,67265
67175,67316
67317,67316
67068,67054
67106,67054
67204,67054
67365,67054
67283,67054
49678,45890
54800,45890
54804,45890
66777,30475
46190,30475
64625,64624
64866,64624
64865,64624
64864,64624
64867,64624
65709,64624
64868,64624
65316,64624
71290,53611
67132,67083
67197,67083
67412,67083
67409,67083
54309,51139
64851,51139
62334,51139
64787,56702
60233,56702
64785,56702
64786,56702
67271,67050
67047,67050
67453,65430
65498,65430
66336,65430
71209,67270
67198,53769
71783,71295
67050,61309
67054,67055
54914,71776
67565,67077
67368,67057
73423,71776
67378,71295
67380,68369
67053,68369
67083,67057
67062,67057
41260,71776
54756,71776
67107,71295
71731,71295
53769,71776
67419,67057
56702,71776
71896,71295
56277,71783
66798,55772
74224,67084
52174,55635
52170,55635
48730,55635
45429,55635
64647,64623
63102,72924
67285,67084
51360,38863
45754,38863
51361,38863
51362,38863
44639,38863
45797,38863
45798,38863
51363,38863
67127,67086
67178,67506
67233,67506
67616,67506
67488,67086
67336,67506
67392,67086
67398,67086
67357,67084
67069,67084
58996,58760
44642,44644
55543,44644
55544,58973
44640,44644
59552,44644
44755,58973
44643,44644
51364,44644
44754,58973
51365,44644
44641,44644
53996,44645
61441,58760
61508,58760
50997,59261
51001,59023
50998,64628
51007,64628
50999,64648
63290,59261
51002,59023
51004,64648
59565,59023
63289,50990
64650,50989
50993,58760
51006,50989
63283,59023
63284,59023
64653,58760
63312,64648
51333,50990
51003,58760
59563,64628
59562,50989
63314,58760
63287,59261
50995,50990
59564,59023
63288,50989
64651,59261
50991,59261
59264,44644
59265,44644
59263,44644
59262,44644
67115,71783
67164,71783
56509,56277
46504,71783
74149,67259
83581,67259
60217,67259
67111,61309
46509,71776
67055,61309
71295,71776
68369,71776
64624,64623
74281,10436
58760,59261
50990,60141
59023,60141
64648,60141
50989,60141
64628,60141
59261,60141
67157,67197
67312,67412
67352,67412
67399,67197
67607,67154
67366,67364
67349,67565
61501,10436
61500,10436
67407,67368
67982,74236
67595,67384
67385,67384
67256,67384
67185,72389
67263,72389
67404,72389
67384,72389
58622,71714
67200,67185
67318,67185
67589,67185
67269,67263
67394,67263
67592,67263
67291,67404
67600,67404
67319,67404
67434,72389
67220,67083
65736,51139
64853,51139
73491,73483
73484,73483
73253,73483
60391,53769
72389,71714
71715,71714
71714,71776
73483,71715
67060,53611
67199,67368
67556,67048
63142,73542
67322,67048
67070,67048
67109,67083
64862,51139
73475,73542
73476,73542
67048,73542
67187,67086
82464,67506
58632,73542
74659,67419
74661,67419
74674,67419
74693,67419
75014,67419
74716,67419
74830,74718
74759,67419
75048,67419
75204,67419
74676,67419
74647,67419
74829,67419
74662,67419
74753,67419
68420,71896
68421,71896
71928,67077
67137,67077
67293,67077
67116,67077
67117,67077
67217,67077
67619,67077
65708,67077
72180,67077
73493,74718
73494,74718
73485,74718
73255,74718
73256,74718
73257,74718
